SITE CODE,TIPO,MARCA,IDENTIFICADOR,DESCRIPTOR,UBICACION,IP,MASK,GW,SWITCH,PUERTO
ESM,ALTAVOZ,AXIS,AL-01,ENTRADA PRINCIPAL,POSTE 6,10.147.88.101,255.255.255.0,10.147.88.10,2,4
ESM,ALTAVOZ,AXIS,AL-02,OFICINAS,POSTE 1,10.147.88.102,255.255.255.0,10.147.88.10,2,5
ESM,ALTAVOZ,AXIS,AL-03,ALMACEN,POSTE 5,10.147.88.103,255.255.255.0,10.147.88.10,2,6
ESM,ALTAVOZ,AXIS,AL-04,MUELLES,ESQUINA COMPRESORES CUBIERTA,10.147.88.104,255.255.255.0,10.147.88.10,3,3
ESM,ALTAVOZ,AXIS,AL-05,SALIDA VEHICULOS,POSTE 4,10.147.88.105,255.255.255.0,10.147.88.10,4,4
ESM,ALTAVOZ,AXIS,AL-06,EXPEDICIONES,POSTE 4,10.147.88.106,255.255.255.0,10.147.88.10,4,5
ESM,ALTAVOZ,AXIS,AL-07,EMBALAJES,POSTE 3,10.147.88.107,255.255.255.0,10.147.88.10,6,1
ESM,ALTAVOZ,AXIS,AL-08,COMPACTADOR RESIDUOS,POSTE 2,10.147.88.108,255.255.255.0,10.147.88.10,8,1
ESM,ALTAVOZ,AXIS,AL-09,CALDERA,POSTE 2,10.147.88.109,255.255.255.0,10.147.88.10,8,2
ESM,ALTAVOZ,AXIS,AL-10,VESTUARIOS,ESQUINA COMPRESORES CUBIERTA,10.147.88.110,255.255.255.0,10.147.88.10,3,4
