SITE CODE,TIPO,MARCA,IDENTIFICADOR,DESCRIPTOR,UBICACIÓN,IP,MASK,GW,SWITCH,PUERTO
PAL,ALTAVOZ,AXIS,AL-01,CAMIONES,POSTE BASCULA,10.147.36.101,255.255.254.0,10.147.36.10,2,11
PAL,ALTAVOZ,AXIS,AL-02,ACCESO VEHICULOS,GARITA BARRERAS VEHÍCULOS,10.147.36.102,255.255.254.0,10.147.36.10,2,12
PAL,ALTAVOZ,AXIS,AL-03,ACCESO PEATONAL,GARITA MOLINETE,10.147.36.103,255.255.254.0,10.147.36.10,2,13
PAL,ALTAVOZ,AXIS,AL-04,PUENTE GRUA,NAVE UTILLAJES ESQUINA VESTUARIOS,10.147.36.104,255.255.254.0,10.147.36.10,3,6
PAL,ALTAVOZ,AXIS,AL-05,PERIMETRO P1,POSTE 1,10.147.36.105,255.255.254.0,10.147.36.10,8,1
PAL,ALTAVOZ,AXIS,AL-06,PERIMETRO P1-P2,POSTE 1,10.147.36.106,255.255.254.0,10.147.36.10,9,1
PAL,ALTAVOZ,AXIS,AL-07,PERIMETRO P2-P1,POSTE 2,10.147.36.107,255.255.254.0,10.147.36.10,9,2
PAL,ALTAVOZ,AXIS,AL-08,PERIMETRO P2-P3,POSTE 2,10.147.36.108,255.255.254.0,10.147.36.10,10,1
PAL,ALTAVOZ,AXIS,AL-09,PERIMETRO P3-P4,POSTE 3,10.147.36.109,255.255.254.0,10.147.36.10,10,2
PAL,ALTAVOZ,AXIS,AL-10,MUELLES,POSTE 4,10.147.36.110,255.255.254.0,10.147.36.10,10,3
PAL,ALTAVOZ,AXIS,AL-11,PERIMETRO P5-P3,POSTE 5,10.147.36.111,255.255.254.0,10.147.36.10,11,1
PAL,ALTAVOZ,AXIS,AL-12,PERIMETRO P6-P5,POSTE 6,10.147.36.112,255.255.254.0,10.147.36.10,12,1
PAL,ALTAVOZ,AXIS,AL-13,PERIMETRO P6-P7,POSTE 6,10.147.36.113,255.255.254.0,10.147.36.10,12,2
PAL,ALTAVOZ,AXIS,AL-14,PERIMETRO P7-P6,POSTE 7,10.147.36.114,255.255.254.0,10.147.36.10,13,1
PAL,ALTAVOZ,AXIS,AL-15,DEPURADORA,POSTE 7,10.147.36.115,255.255.254.0,10.147.36.10,13,2
PAL,ALTAVOZ,AXIS,AL-16,CALLE ACCESO,NAVE GALVANIZADO,10.147.36.116,255.255.254.0,10.147.36.10,6,1
PAL,ALTAVOZ,AXIS,AL-17,AVENIDA FACHADA,NAVE PRODUCCION COMPACTADORA CHATARRA,10.147.36.117,255.255.254.0,10.147.36.10,4,1
PAL,ALTAVOZ,AXIS,AL-18,AVENIDA FONDO,NAVE PRODUCCION COMPACTADORA CHATARRA,10.147.36.118,255.255.254.0,10.147.36.10,4,3
